,title,author,rating,price(₹),reading_age,page,language,publisher,weight(g),quantity,country,description
239,7 Years UPSC EPFO (EO/AO)/ APFC Enforcement Officer & Account Officers Exam Book 2025 - 2026 (in English Medium) | Solved Previous Year Question PYQ ... | Thematic Mind Map - S Chand Exams Books,S Chand Expert,no rating,375,15 years and up,364,English,S Chand and Company Ltd; Latest Edition 2025 - 2026 (22 September 2025),372 g,1 Count,no country,no description
240,"UPTET Teacher Eligibility Test Preparation Guide Book Paper I (1-V), Hindi and English with Sanskrit, Mathematics, Environmental Studies, Child Development.",Ankit Bhati,no rating,299,no reading age,560,Hindi,Rojgar Publication; 2025-26 Edition (30 September 2025),650 g,no quantity,India,no description
241,curioSprout Interactive Alphabet Activity Book | Montessori Busy Book for Toddlers 2+ Years | Velcro Learning Toys | ABC Book Writing Practice | Educational Quiet Book | Reusable Kids Learning Binder,no author,5.0,649,no reading age,30,English,no publisher,460 g,1 Piece,India,no description
242,"Science TGT Exam Book 2025 - 2026 (Bilingual Edition) for DSSSB, KVS, NVS, EMRS, HTET, UP TGT (UPTGT) Also Useful for Other Teaching Competitive Exams | 2000+ PYQ Previous Year Question With Explanations | Based on NCERT Notes & Latest Pattern | MCQ | Solved Papers | ISBN - 9789373591773 - S Chand Books",Rohit Vaidwan,no rating,398,15 years and up,540,Multilingual,S Chand and Company Ltd; Latest Edition 2025 - 2026 (19 September 2025),467 g,1 Count,no country,no description
243,"Arihant 151 Essays by SC Gupta | Comprehensive Essay Book for Competitive Exams, School & College | Contemporary Topics, Social, Political, Economic, Science & Technology, Health & Environment",Arihant Experts,no rating,300,no reading age,418,no language,Arihant Publications; 2026th edition (8 May 2025),380 g,1 Count,India,no description
244,Darpan Publication MPPSC PYQ 2025 Prelims + Part - A Topic wise Solutions Book for Mppsc Pre And All Mppsc Exams 2026 (Mppsc Pyq Previous Year Questions),Rakesh Nagar,no rating,314,18 years and up,450,"Hindi, Hindi",Darpan Publication; 2025th edition (6 October 2025),500 g,no quantity,India,no description
245,Arihant All in One Hindi Class 8 Guide Book | Latest 2025 NCERT Edition | NEP 2020 Based | Complete Study and Practice Assessment | CBSE Term 1 & 2 | ... | Sample Question Papers | English Medium,Chandan Kumar Mishra,no rating,222,no reading age,274,English,"ARIHANT PUBLICATIONS INDIA LIMITED (20 August 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",438 g,1 Count,India,no description
246,"TN - TET (Tamilnadu Teacher Eligibility Test) Paper - II, Class VI - VIII Exam Book -Based on New Syllabus with Latest Edition | 2700+ Practice MCQs (English & Tamil Printed Edition) By Adda247",Adda247 Publications,no rating,378,5 years and up,326,no language,Adda247 Publications; First Edition (7 October 2025),480 g,no quantity,India,no description
247,Haunted Motel Stories: Spooky Short Stories for Kids and Young Readers,Book,1.0,no price,no reading age,104,English,no publisher,no weight,no quantity,no country,no description
248,Target UPSC PYQ+ - 16 Years Prelims GS Questions & Analysis - Part 1 & 2 - Combo Set of 2 Book - Includes Free Course - Latest 2024-25 Edition,Dr. Sudarshan Lodha,4.3,299,no reading age,980,English,Target UPSC (13 January 2025); Target UPSC,1 kg 600 g,2 Count,no country,no description
249,Arihant 7 Years JEE Main Chemistry Chapterwise & Topicwise Solved Papers | 143 Shifts (2025–2019) | 2500+ MCQs with NTA Answer Key | Includes Key ... | JEE Main Preparation Book (Jee 7 Year PYQ),Pooja Yadav,4.4,314,no reading age,484,English,"ARIHANT PUBLICATIONS INDIA LIMITED; Standard Edition (10 May 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",774 g,1 Count,India,no description
250,My First Times Tables Activity Book: Multiplication Made Easy | Ages 6–8 | Build Confidence in Basic Math | 2.5 Hours of Practice,Wonder House Books,4.5,89,no reading age,48,English,"Wonder House Books; First Edition (12 October 2021); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265403",180 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
251,"Dinosaurs Encyclopedia: Amazing Facts for Kids and Children Fun Facts on Dinosaur Life, Bones, Eggs and Sounds | What, How, and Where of Dinosaurs | Engaging & Illustrated - Ages 6+ Years",Hello Friend Books,3.5,355,3 - 12 years,144,English,"BRIJBASI ART PRESS LTD. - A-81, Sector 5, Noida, Uttar Pradesh 201301, India; Kids Edition (30 April 2025); BRIJBASI ART PRESS LTD. - A-81, Sector 5, Noida, Uttar Pradesh 201301, India",175 g,158 Count,India,no description
252,Peter Pan by J M Barrie [Premium Paperback] | Classic Fairy Tales Story Books For Kids | Books for Kids 9-12 Years | Fantasy Story Book for Kids 7 to 9 Years | Kids Story Book with Magic & Friendship,J.M. Barrie,5.0,199,no reading age,152,no language,One Point SixTechnologies Pvt Ltd (30 July 2025); One Point SixTechnologies Pvt Ltd,200 g,no quantity,India,no description
253,Piyush Varshney - Solve Without Pen And Paper Reasoning Book (English Medium)_4th Edition,Piyush Varshney,4.8,568,no reading age,792,English,PV Publication (1 August 2025); PV Publication,1 kg 120 g,no quantity,no country,no description
254,"GIC Lecturer English Prelims Exam Book (UPPSC) – Complete Guide with Short Notes on Authors, Literary Works, Forms, Movements & Criticism | 6000+ MCQs & Previous Years Solved Papers",Dr. Ranjeet Singh,no rating,520,no reading age,435,Hindi,Rupam Publishers & Distributors; Classic Edition (25 August 2025),150 g,1 Count,India,no description
255,InIkao Tamil Writing Practice Books for Kids | Set of 5 Handwriting Improvement Book for Children age 4+ years,Inikao,4.4,203, 4 - 6 years,160,"Tamil, Tamil, Tamil, Tamil, Tamil","InIkao Foundations; 9th edition (1 January 2015); InIkao Foundations, 2/206-6 Pa Ma Garden, Thiruvengadam Nagar, Peria Vallikulam, Virudhunagar - 626001",450 g,1 Pack,India,Excellent set of books to practice writing tamil letters. One can become proficient in writing after going thru the exercise writing in these books. Review by Siva 19-11-2022
256,"Apathit Gadyansh (Unseen Passage) Book 2025 | Hindi Comprehension Practice for Class 4-6 | Useful for Sainik School, JNV, RMS, Olympiad & Other Entrance Exams",Radian Book Company,4.6,139,7 years and up,208,Hindi,"Radian Book Company; 1st edition (23 July 2025); Radian Book Company, Mangolpuri, New Delhi, 110083",234 g,1 Count,India,no description
257,"Volume 2, Nirman IAS FSO (Food Safety Officer Book), khadya suraksha gunvatta niyantran, Hindi Medium Study Material with Abhyasika By Sanjay Gupta (Nirman IAS Mains Exam Mirror Series)",Sanjay Gupta,no rating,315,16 years and up,398,Hindi,Nirman Ias; First Edition (29 September 2025),410 g,1 Piece,India,no description
258,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),Mark Manson,4.5,no price,no reading age,212,English,Harper (13 September 2016),no weight,no quantity,no country,no description
259,Ignite Publication - TET Success Master - Shikshak Patrata Pariksha - Magil Varshachya Prashnapatrika - Ghatak - Upghatak Nihay Spashtikarnasahit - 3000+ Prashnancha Samavesh - Paper 1 & Paper 2 - New Edition,"Balkrushn Dake Balasaheb Bodkhe , Vijay Shelke , Yogesh Bobde , Amol Gadekar",no rating,640,15 years and up,648,Marathi,Ignite Publication; Standard Edition (27 August 2025),350 g,1 Count,India,no description
260,"My First Mythology Tale (Illustrated) (Set of 5 Books) (Kannada) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - Kannada Short Stories",Maple Press,4.0,135,3 - 10 years,80,Kannada,"Maple Press Pvt Ltd (19 June 2024); Maple Press, Noida",250 g,1 Set,India,no description
261,Nirmala (Hindi) - Premchand (Maple Classics),Premchand,4.4,122, 14 years and up,176,Hindi,"Maple Press Pvt Ltd; First Edition (4 August 2015); Maple Press, Noida",190 g,1 Piece,India,no description
262,"Maze Satyache Prayog Athawa Aatmakatha, Benjamin Franklin Yanchi Aatmakatha Books in Marathi The Story book of My Experiments With Truth Autobiography Of मराठी Mahatma Gandhi",Mohandas Karamchand Gandhi,2.7,84,15 years and up,528,Marathi,"Saket Prakashan Pvt Ltd (1 January 2022); Saket Prakashan Pvt. Ltd. 115, Mahatma Gandhi Nagar, Station Road, Chhatrapati Sambhajinagar 431005, Maharashtra. Ph. 9881745605",475 g,no quantity,India,no description
263,"Sawan Set of 5 story books Baby Animals Series (Baby Panda,Baby Elephant, Puppys day out , Baby Hippo & Tall Tree)",Sawan,4.4,219, 1 - 3 years,no page,English,Manoj Publications (1 January 2015),290 g,no quantity,India,no description
264,1'o Clock book for Class 9th Science CBSE 2026 | AI images | Tables | Flowcharts | Handmade Diagrams | Easy Language | Complete NCERT | Based on CBSE pattern | App for Question Practice,KRITI SHARMA,4.0,299,no reading age,108,no language,Rancho Chemistry; First Edition (19 August 2025),400 g,no quantity,India,no description
265,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,4.5,218, 6 - 8 years,160,English,"Maple Press Pvt Ltd (20 December 2023); Maple Press, Noida",200 g,1 Set,India,no description
266,"MTG Class-3 International English Olympiad (IEO) Workbook, Prep-Guide & Previous Years Papers (PYQs) with Mock Test Paper (Set of 3 Books) - SOF Olympiad Books For 2025-26 Exam",MTG Editorial Board,4.6,426,no reading age,296,English,"MTG Learning Media Pvt. Ltd. (14 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",492 g,492 Count,India,no description
267,Little Champ Olympiad English - LCEO - Senior KG - Text Book and Work Book - Set of 2 Books,ITO,no rating,499,no reading age,no page,no language,INDIAN TALENT OLYMPIAD (1 January 2025); Silverzone Neeraj ND,no weight,1.00 Count,India,no description
268,"PW CSIR - NET Recap Chemical Sciences Chapterwise & Yearwise Previous Years Solved Papers (2025-2015) PYQ Latest June 2025 Exam Questions Covered l GATE, TIFR, BARC, and IIT JAM Exams",Physic Wallah,5.0,384,15 years and up,468,English,physic wallah (16 September 2025); Physic Wallah(PW),767 g,1 Count,India,no description
269,I Love Sparkle Unicorns Activity Book,Scholastic,no rating,318,6 - 8 years,28,English,"Scholastic UK (15 May 2025); Scholastic India Private Limited, Delhi",136 g,1 Count,no country,"We believe in the power of reading for all children and that everyone should be able to see themselves and their experiences reflected in a book. That’s why we create books that educate, inspire, entertain and help children make sense of the world we live in. From picture books, to younger readers, fiction and YA, you’ll find the best children’s books for every age and stage."
270,"Blue Book Series Booster General Knowledge (GK) Book by Prateek Shivalik | 2500+ Topic Wise Questions | Latest Pattern MCQs For DSSSB, CTET, UPTET, KVS, PGT, PRT, TGT & All Teaching Exams 2025 (Hindi)",Prateek Shivalik,5.0,315,18 years and up,212,Hindi,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),440 g,1.0 Count,no country,no description
271,"Marathi Bodhkatha, Famous Story Books Combo Set Pack for Kids, Children Moral Stories Book, छान छान गोष्टी पुस्तके, बोधकथा, Chhan Chhan Goshti [paperback] Saket Prakashan [Jan 01, 2017]…",Saket Prakashan,4.4,190,6 - 12 years,256,Marathi,Saket Prakashan Pvt Ltd; First Edition (1 January 2017); (PH: 9881745605),410 g,no quantity,India,no description
272,Kalakari: A Journey Through Indian Folk Art (Mindful Adult Colouring Book),Simran Tapadia,4.2,273,no reading age,64,English,Pan Macmillan India (3 July 2025),100 g,500.00 Grams,no country,no description
273,Piyush Varshney - Solve Without Pen And Paper Reasoning Book (English Medium)_4th Edition,Piyush Varshney,4.8,568,no reading age,792,English,PV Publication (1 August 2025); PV Publication,1 kg 120 g,no quantity,no country,no description
274,"GIC Lecturer English Prelims Exam Book (UPPSC) – Complete Guide with Short Notes on Authors, Literary Works, Forms, Movements & Criticism | 6000+ MCQs & Previous Years Solved Papers",Dr. Ranjeet Singh,no rating,520,no reading age,435,Hindi,Rupam Publishers & Distributors; Classic Edition (25 August 2025),150 g,1 Count,India,no description
275,"Apathit Gadyansh (Unseen Passage) Book 2025 | Hindi Comprehension Practice for Class 4-6 | Useful for Sainik School, JNV, RMS, Olympiad & Other Entrance Exams",Radian Book Company,4.6,139,7 years and up,208,Hindi,"Radian Book Company; 1st edition (23 July 2025); Radian Book Company, Mangolpuri, New Delhi, 110083",234 g,1 Count,India,no description
276,"Volume 2, Nirman IAS FSO (Food Safety Officer Book), khadya suraksha gunvatta niyantran, Hindi Medium Study Material with Abhyasika By Sanjay Gupta (Nirman IAS Mains Exam Mirror Series)",Sanjay Gupta,no rating,315,16 years and up,398,Hindi,Nirman Ias; First Edition (29 September 2025),410 g,1 Piece,India,no description
277,Ignite Publication - TET Success Master - Shikshak Patrata Pariksha - Magil Varshachya Prashnapatrika - Ghatak - Upghatak Nihay Spashtikarnasahit - 3000+ Prashnancha Samavesh - Paper 1 & Paper 2 - New Edition,"Balkrushn Dake Balasaheb Bodkhe , Vijay Shelke , Yogesh Bobde , Amol Gadekar",no rating,640,15 years and up,648,Marathi,Ignite Publication; Standard Edition (27 August 2025),350 g,1 Count,India,no description
278,"My First Mythology Tale (Illustrated) (Set of 5 Books) (Kannada) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - Kannada Short Stories",Maple Press,4.0,135,3 - 10 years,80,Kannada,"Maple Press Pvt Ltd (19 June 2024); Maple Press, Noida",250 g,1 Set,India,no description
279,"ALCRAFT Blank Spell Book of Shadows Journal with Lock Clasp Antique Handmade Deckle Edge Vintage Paper Leather Bound Journal for Women and Men |Travel Notebook for Writing 15.24 X 11.43 CM, 200 pages",no author,4.4,314,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
280,"Maze Satyache Prayog Athawa Aatmakatha, Benjamin Franklin Yanchi Aatmakatha Books in Marathi The Story book of My Experiments With Truth Autobiography Of मराठी Mahatma Gandhi",Mohandas Karamchand Gandhi,2.7,84,15 years and up,528,Marathi,"Saket Prakashan Pvt Ltd (1 January 2022); Saket Prakashan Pvt. Ltd. 115, Mahatma Gandhi Nagar, Station Road, Chhatrapati Sambhajinagar 431005, Maharashtra. Ph. 9881745605",475 g,no quantity,India,no description
281,"Sawan Set of 5 story books Baby Animals Series (Baby Panda,Baby Elephant, Puppys day out , Baby Hippo & Tall Tree)",Sawan,4.4,219, 1 - 3 years,no page,English,Manoj Publications (1 January 2015),290 g,no quantity,India,no description
282,1'o Clock book for Class 9th Science CBSE 2026 | AI images | Tables | Flowcharts | Handmade Diagrams | Easy Language | Complete NCERT | Based on CBSE pattern | App for Question Practice,KRITI SHARMA,4.0,299,no reading age,108,no language,Rancho Chemistry; First Edition (19 August 2025),400 g,no quantity,India,no description
283,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,4.5,218, 6 - 8 years,160,English,"Maple Press Pvt Ltd (20 December 2023); Maple Press, Noida",200 g,1 Set,India,no description
284,"MTG Class-3 International English Olympiad (IEO) Workbook, Prep-Guide & Previous Years Papers (PYQs) with Mock Test Paper (Set of 3 Books) - SOF Olympiad Books For 2025-26 Exam",MTG Editorial Board,4.6,426,no reading age,296,English,"MTG Learning Media Pvt. Ltd. (14 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",492 g,492 Count,India,no description
285,Little Champ Olympiad English - LCEO - Senior KG - Text Book and Work Book - Set of 2 Books,ITO,no rating,499,no reading age,no page,no language,INDIAN TALENT OLYMPIAD (1 January 2025); Silverzone Neeraj ND,no weight,1.00 Count,India,no description
286,The Complete Cookbook for Young Chefs,America’s Test Kitchen Kids,4.8,722,8 - 12 years,208,English,Sourcebooks Explore (16 October 2018); Sourcebooks LLC; productsafety@dk.com,745 g,1.00 Kilograms,USA,no description
287,"PW CSIR - NET Recap Chemical Sciences Chapterwise & Yearwise Previous Years Solved Papers (2025-2015) PYQ Latest June 2025 Exam Questions Covered l GATE, TIFR, BARC, and IIT JAM Exams",Physic Wallah,5.0,384,15 years and up,468,English,physic wallah (16 September 2025); Physic Wallah(PW),767 g,1 Count,India,no description
288,I Love Sparkle Unicorns Activity Book,Scholastic,no rating,318,6 - 8 years,28,English,"Scholastic UK (15 May 2025); Scholastic India Private Limited, Delhi",136 g,1 Count,no country,"We believe in the power of reading for all children and that everyone should be able to see themselves and their experiences reflected in a book. That’s why we create books that educate, inspire, entertain and help children make sense of the world we live in. From picture books, to younger readers, fiction and YA, you’ll find the best children’s books for every age and stage."
289,"Blue Book Series Booster General Knowledge (GK) Book by Prateek Shivalik | 2500+ Topic Wise Questions | Latest Pattern MCQs For DSSSB, CTET, UPTET, KVS, PGT, PRT, TGT & All Teaching Exams 2025 (Hindi)",Prateek Shivalik,5.0,315,18 years and up,212,Hindi,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),440 g,1.0 Count,no country,no description
290,"Marathi Bodhkatha, Famous Story Books Combo Set Pack for Kids, Children Moral Stories Book, छान छान गोष्टी पुस्तके, बोधकथा, Chhan Chhan Goshti [paperback] Saket Prakashan [Jan 01, 2017]…",Saket Prakashan,4.4,190,6 - 12 years,256,Marathi,Saket Prakashan Pvt Ltd; First Edition (1 January 2017); (PH: 9881745605),410 g,no quantity,India,no description
291,"Intelliskills Premium Dino-Mite 3D Pop-Up Story Board Book for Kids, Learning & Educational Book With 5 Interactive Scenes, Fun Activity Books for 2+ Years Old, Birthday Gift, 10 Pages, BIS Certified",Mamta Garg,no rating,165,2 - 6 years,10,no language,BRIJBASI ART PRESS LIMITED (15 July 2025),187 g,1.0 Count,India,no description
292,"Examcart KVS Perspectives on Education & Leadership Book 2025 By Prateek Shivalik | 33 Papers (1800+ Questions)| For PRT, TGT, PGT, Principal, Vice Principals & Assistant Commissioner (English Medium)",Examcart Experts,4.6,299,15 years and up,450,English,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (7 August 2025),684 g,1.0 Count,India,no description
293,"Dhyan tatha iski Paddhatiya (Meditation) & Mind by Swami Vivekananda – Pocket Classics Combo (Hindi) | Compact Spiritual Books on Meditation, Mind Control & Self-Realization | Set of 2",Swami Vivekananda,5.0,160,10 years and up,256,no language,SAHITYA SAROWAR ORIGINAL BLACK CLASSIC; Classic Edition (17 July 2025),200 g,no quantity,no country,no description
294,"Shlokas and Mantras for Kids – Illustrated Padded Board Book: Simple Sanskrit Shlokas with English & Hindi Translations | First Spiritual Book to Teach Indian Culture, Values & Devotional Practices | Book for Toddlers, Preschoolers & Early Readers | Ages 2–6 Years",Wonder House Books,4.7,178, 2 - 8 years,26,English,"Wonder House Books; Standard Edition (31 August 2022); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265358",160 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
295,"MTG Class-1 NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo (Set of 3 Books) | MCQs, & Achievers Section - SOF Olympiad Books For 2025-26 Exam","ZARRIN ALI KHAN MAHABIR SINGH, ANIL AHLAWAT",4.5,213,no reading age,208,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",320 g,320 Count,India,no description
296,Your Infinite Power To Be Rich (Tamil),Dr. Joseph Murphy,4.4,205,no reading age,228,Tamil,"Manjul Publishing House; First Edition (1 May 2012); Manjul Publishing House Pvt. Ltd., 2nd Floor, Usha Preet Complex, 42 Malviya Nagar, Bhopal - 462003 - India",200 g,1 Count,India,"டாக்டர் ஜோஸப் மர்ஃபி (1898-1981) ஆழ்மனம் இயங்கும் விதம் குறித்து மிகத் தெளிவாகப் புரிந்து வைத்திருந்த ஒரு மேதையாக இன்றும் உலகம் முழுவதிலும் மதிக்கப்பட்டு வருகிறார். கோடிக்கணக்கான பிரதிகள் விற்றுள்ள 'ஆழ்மனத்தின் அற்புத சக்தி' என்னும் புத்தகம் உட்பட எண்ணற்றப் புத்தகங்களை அவர் எழுதியுள்ளார். பொருளாதார, சமூக, மற்றும் ஆன்மீகத் தளங்களில் சுயமாக முன்னேற விரும்பிய கோடிக்கணக்கான சாமானிய மக்களுக்கு, எளிய நடைமுறை உத்திகளின் மூலம், ஆழ்மனத்தின் வியத்தகு சக்தியை எப்படிப் பயன்படுத்துவது என்பதை அவர் சொற்பொழிவுகள் வாயிலாகவும், தன் புத்தகங்களின் மூலமாகவும் கற்றுக் கொடுத்தார்."
297,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales by Sudha Murty",Sudha Murty,4.6,178, 6 years and up,176,English,Penguin Books Limited; Latest edition (1 January 2015),1 kg 50 g,250.00 Grams,India,Select Guide Rating
298,Forgotten Ghost Town Mystery: Stories of Lost Souls and Haunted Memories,Book,no rating,no price,no reading age,148,English,no publisher,no weight,no quantity,no country,no description
299,Classic Shine The Thoughtful Investor? Books for Students and Adults,Basant Maheshwari,no rating,389,14 years and up,440,no language,Classic Shine (23 July 2025); Classic Shine,no weight,no quantity,India,no description
300,MTG International Mathematics Olympiad (IMO) Workbook Class 2 - Chapterwise Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam,MAHABIR SINGH,4.5,97,no reading age,72,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",110 g,110 Count,India,no description
301,"MTG Class-9 NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo (Set of 3 Books) | MCQs, & Achievers Section - SOF Olympiad Books For 2025-26 Exam","ZARRIN ALI KHAN MAHABIR SINGH, ANIL AHLAWAT",4.3,214,no reading age,224,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",340 g,340 Count,India,no description
302,"Drishti IAS UPSC EPFO APFC Book 2025, for EO/AO and APFC Examination, 2nd Edition",Drishti Publications,4.0,424,no reading age,568,no language,"VDK PUBLICATIONS PVT LTD; 2nd Edition (13 July 2025); VDK PUBLICATIONS PVT LTD Block-Udyog Vihar, Plot No-38b, Sector Ecotech- 2, Greater Noida, Gautam Budh Nagar, Uttar Pradesh, 201308",909 g,no quantity,India,no description
303,"Story Books for Kids - Good Manners (Illustrated) (Set of 6 Books) - Bedtime Stories - Early Learning for Kids - Age 3+ - Read Aloud to Infants, Toddlers",Maple Press,4.5,132,3 - 10 years,96,English,"Maple Press Pvt Ltd (17 April 2025); Maple Press, Noida",350 g,no quantity,India,no description
